"user_id","status_id","created_at","screen_name","text","description"
"x377453664","x1389520935171014660",2021-05-04 10:03:01,"bvgassociates","Scots floater to evaluate US platform  - reNews - Renewable Energy News https://t.co/gyGYw0F4FN","Leading independent renewable energy strategic consultancy with a global outlook, specialising in wind and marine energy."
"x1185790302784634881","x1406936142214139908",2021-06-21 11:24:50,"shellhe626","show me a cat that does this  https://t.co/M1Oms7qOZj","PDX native-Independent-Dog Mom🇺🇸"
"x4558586973","x1387114547971076096",2021-04-27 18:40:54,"ZebraMinarchist","@MrErnestOwens What a fruitcake this guy is 🤣","Conservatarian Sports Fanatic 🇺🇸🥎🏈🗽💼
I Conservative I Independent I Libertarian l I hold both sides accountable & will point out hypocrisy from either."
"x1098306300","x1352610266270339079",2021-01-22 13:33:12,"RobynNissim","This is simpler than it looks.

@gehrig38 Schilling publicly supported an attempt to overthrow the elected U.S. government, attack the Capitol, and kill Senators and Reps.

@mlb should put him on the Permanently Ineligible List.

HOF is then closed to him. https://t.co/MyVVr3QLoZ","I'm not a nurse. Former PR person/writer with a focus on medicine and research. Independent in all ways.

#MADD
#StopAsianHate
#BLM
#adopt
#resist"
"x832825942384967680","x1393328797185978371",2021-05-14 22:14:06,"SVonsouvanh","@JoeKilpatrick15 I don’t respond to mentally ill people","Independent, universal citizen, guided by principles, integrity, and conscience, not any specific political ideology, Eagles fan. Pro-America = Anti-Trump"
"x1308751123952660482","x1414202730118369284",2021-07-11 12:39:40,"CosmicIndiffer1","@xZachPhillipsx And individuals are unpeaceful every day as well. A lack of government would beget a Mad Max scenario, where the vacuum of power is filled by the most aggressive and unscrupulous.","Independent, disabled combat vet, formerly NSA and Army, defense consultant, dad. Dabbles in plants and vintage power tools. Neurodivergent and proud."
"x455127456","x1296258815352958976",2020-08-20 01:32:39,"MarkdMotivation","@GabbyGiffords @JoeBiden @KamalaHarris Tears in my eyes. Thank you. I’m still struggling getting used to my prosthetic leg and cannot begin to imagine the challenges you face daily.

Thank you for your fight.
Thank you for your courage. 
Thank you for your service to our country. 

One foot in front of the other
❤️🇺🇸","Employment attorney, patient advocate & amputee. Believer of individual freedom & fact-based policy. I care for everyone🇺🇸. (independent / Lincoln Republican)"
"x819028469644410880","x1415689023159291910",2021-07-15 15:05:40,"NewMexican1986","In California now the fires are so hot, so intense, that they create tornado effects.
This is not normal.
This is not normal.
This is not normal.
This is not normal.
This is not normal.
This is not normal.

#ClimateChange https://t.co/FeJy5rGxkb","Never Trumper from the Start. White Suburban Pissed-Off “Housewife” who doesn’t suffer fools. Independent voter."
"x3237854867","x1376347861626068995",2021-03-29 01:37:56,"nickj9697","America 🤝 Weimar Germany https://t.co/5zs1xEv8Kr","Pol. Independent // Professional Cynacist // History Fanatic // Un-Apologetically Pro Free Speech"
"x363492159","x1347279200009519105",2021-01-07 20:29:27,"ijeepgirl6","Who could ever have predicted such a horrible thing would happen, said no one who had been remotely paying attention","Womyn 👩🏽‍💼 Catholic ⛪️ Jeep Evangelist 🏜 Conservative Independent former Conservative Republican 👩🏽‍💻"
"x1239910474050830337","x1411823039801606145",2021-07-04 23:03:37,"CultCop","@DeathMetalV Man, I was. I've been on the gulf coast my whole life. Lived in Louisiana for Katrina even. 

But Michael almost killed me and my family, and I have bad storm PTSD over it.","Just a mechanic who remembers 🇺🇸 ideals. Traditionally Independent. Ran when parked.
I don't care if you like me. #NeverForget 1/6/2021"
"x808498166479917056","x1412494396050792457",2021-07-06 19:31:21,"Parrow_","Now Available On Demand

@NoPeaceFL This Hell Is Home!

@LordCreweKills v @ThrashJustice
@BloodyMickie v @SawyerWreck
@thejamiesenegal v @K3nn3diCop3land
@The_Ace_Austin v @TreehouseLee
@OdinsonOfAsgard @Parrow_ v @JCrane317 @DalePatricks
&amp; more!

https://t.co/ZPTUPSjv1T https://t.co/e7mWXnrzHb","Independent Professional Wrestler🏳️‍🌈,One half of The Tag Team The End.Instagram workout selfies parrow49. booking info email Mikeysqwest@hotmail.com"
"x827998594422616064","x1346697737144856577",2021-01-06 05:58:55,"TrumpLies45","@o0rimbuk0o @SobolNick @ADnot_today @acrufox @cburfeind3 @kayleighmcenany @abbydphillip There isn't a single shread of evidence . You are being played by a spoiled bully who never learned how to lose. You are selling out American democracy to back an Authoritarian leader who has no interest in Democracy. By definition,  Trump is America's domestic enemy","Truth Trump's Lies. I am a hard-working, educated, middle class, independent  with major concerns on what 45 is doing to our country. Seeking Truth."
"x3835323785","x1414261315875614731",2021-07-11 16:32:28,"sodak350","@SeriousSkeptic @MarkChangizi Sacrilege","independent thinking conservative Christian and proud USAF veteran,  husband, father,  grandfather. #Maga  #Kag"
"x1143252242943922178","x1400252802518106112",2021-06-03 00:47:38,"baberuth52","@RealMattCouch No worse than Carter","Sales Executive, Politics, Sports, History, Professor, Conservative Independent"
"x880831254874042374","x1405193352413212675",2021-06-16 15:59:37,"Sarahwhite272","@g_odums cream of wheat but oatmeal a very close second.","Retired, American independent, former Republican. Voted for Biden/Harris and WE WON! Now the hard work begins cleaning up the mess from the previous admin."
"x138761646","x1337191600309473283",2020-12-11 00:24:55,"JCSFG49fan","@jparkABC @wyscrapper Oh the complicity. Don't worry though, he'll get away with it!","Independent, business owner, family man. Love to travel, eat, and watch tv!"
"x1103622835","x1387447488337096709",2021-04-28 16:43:53,"dudleydwrightly","@DonaldJTrumpJr How many other shoes are going to drop? #Giuliani #Ukraine #Republicans 
https://t.co/4FE7dyAzGI","Independent; politically and socially.
Former Teamster, past NRA member."
"x971279109602119681","x1395251895862693888",2021-05-20 05:35:49,"Davamcc","@brat2381 A flat out coverup condoned and carried out by law enforcement. Period. For two damn years…he tried so hard to appeal to their basic humanity. They didn’t have any. Prayers for his poor family. 💔","Independent, Indivisible, Incorrigible... but that’s part of my charm🤣. Navy brat, loyal to democracy and equality. #Resistor #SeditionHasConsequences"
"x389044719","x1333210720683630593",2020-11-30 00:46:20,"zorbob","@JennaEllisEsq Are you turning in your Bar Card? Cause that would be a good start.","Independent former Republican, eyes wide open and sick of the lies."
"x216145959","x1331855954430849024",2020-11-26 07:02:58,"IPNInvestigator","@2012_emerald @kton11 @SaraCarterDC See how this is censored?? Gaslighting is REAL. ❤🇺🇸❤","I am an Ordained Spiritual Minister, trauma counselor &
 Independent Paranormal Investigator. Specialized and experienced in HAPPINESS. 
*NONCOMMERCIAL*"
"x1220783380352176132","x1323147113010765826",2020-11-02 06:17:09,"RoseMar32478245","@JoeBiden We can’t afford any time with you as president. It’ll be a cold day in hell when you’re in the White House.... more like you’ll be back in your basement. 😊","Independent voter 🇺🇸"
"x3140524963","x1395404465910472704",2021-05-20 15:42:04,"ObiwanShoenobi","""Part of the way we control the Gazans are these recurring operations, this concept of 'mowing the lawn'... The only way to end this is with political will. That's why it's so important that we who carried out this military control speak out.""
@AGvaryahu to MSNBC's @AliVelshi👇 https://t.co/Y3n1AnKJgV","Sneakerhead - Size 13 - Native American/Native Texan - Advocate for Free Speech/Equality/Love/Acceptance - Politics = Independent"
"x1682496260","x1407492904239583235",2021-06-23 00:17:12,"thecwhenry","Republicans have spent more energy trying to limit your right to vote than they have trying to win it.","Independent thinker who finds enjoyment through the injection of disinfectant into the body of stupidity...all 40% of it!"
"x115575564","x1410814269931896838",2021-07-02 04:15:08,"WendyGal73","I’ll send $200 in 48hrs to one person who retweets this tweet &amp; follows @criptopaul &amp; myself. 

Must join their telegram https://t.co/sGl3yVqdFi","Single Independent Christian Woman with a ❤️ of gold. #SlayFam #TeamStacks #AsYouWish Cashapp: $WendyGal73 PayPal: https://t.co/F1ZcexhCM5"
"x892607547483373569","x1349782980416266240",2021-01-14 18:18:34,"darkstormynit","It's beyond poetic that Trump is refusing to pay Giuliani's legal fees.  Can't script this stuff any better.

https://t.co/y75Ker5h8J","Living the dream, independent, leaf fan and Roll Tide"
